ID;ZONAL_ID;ZONAL_CODE;ZONAL_NAME;LOCALIDAD_ID;LOCALIDAD_CODE;LOCALIDAD_NAME;SITIO_ID;SITIO_CODE;SITIO_NAME;ELEMENTO_ID;ELEMENTO_SERIAL;Created;ELEMENTO_NAME;TIPOELEMENTO_ID;TIPOELEMENTO_NAME;MARCA_ID;MARCA_NAME;MODELO_ID;MODELO_NAME;FLAG_ACTIVO;FECHA_INGRESO;FECHA_BAJA;LATITUD;LONGITUD;REGION;PROVINCIA;COMUNA;ELEMENTO_RED_COR;EQUIPO;Updated;CANT_RESIDENCIAL_TEL;CANT_RESIDENCIAL_TV;CANT_RESIDENCIAL_INT;CANT_RESIDENCIAL_TOTAL;CANT_EMPRESA_EMPRESAS;CANT_EMPRESA_TELCOS;CANT_EMPRESA_TOTAL;SEVERIDAD;AVISO_SUBTEL;ESTADO;CODI_EMPRESA_SSOT;CODIGO_SERVICIO;NOMBRE_SERVICIO;CODIGO_COMPONENTE;KEY_COMPONENTE;NOMBRE_COMPONENTE;ID_FINAL;
9095-PCVI-IPOBRIDGE;3;CP;CONCEPCION;51;CP;CONCEPCION;49;PCVI;PAICAVI;10079396;9095-PCVI-IPOBRIDGE;;9095-PCVI-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"36°48'02.02""";"73°03'30.94""";REGI�N DEL BIOB�O;PROVINCIA DE CONCEPCI�N;CONCEPCI�N;9095-PCVI-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76739;
2029-PCVI-IPOBRIDGE;3;CP;CONCEPCION;51;CP;CONCEPCION;49;PCVI;PAICAVI;10079400;2029-PCVI-IPOBRIDGE;;2029-PCVI-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"36°48'02.02""";"73°03'30.94""";REGI�N DEL BIOB�O;PROVINCIA DE CONCEPCI�N;CONCEPCI�N;2029-PCVI-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76740;
9711-PAYS-IPOBRIDGE;10;CY;COYHAIQUE;64;PAYS;PTO. AYSEN;53;PAYS;PTO. AYSEN;10079401;9711-PAYS-IPOBRIDGE;;9711-PAYS-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"45°24'38.16""";"72°41'49.92""";REGI�N DE AIS�N DEL GENERAL CARLOS IB��EZ DEL CAMPO;PROVINCIA DE AIS�N;AIS�N;9711-PAYS-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76741;
9710-CYHQ-IPOBRIDGE;10;CY;COYHAIQUE;58;CYHQ;COYHAIQUE;51;CYHQ;COYHAIQUE;10079404;9710-CYHQ-IPOBRIDGE;;9710-CYHQ-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"45°34'39.36""";"72°04'06.24""";REGI�N DE AIS�N DEL GENERAL CARLOS IB��EZ DEL CAMPO;PROVINCIA DE COIHAIQUE;COYHAIQUE;9710-CYHQ-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76742;
9713-CYHQ-IPOBRIDGE;10;CY;COYHAIQUE;58;CYHQ;COYHAIQUE;51;CYHQ;COYHAIQUE;10079405;9713-CYHQ-IPOBRIDGE;;9713-CYHQ-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"45°34'39.36""";"72°04'06.24""";REGI�N DE AIS�N DEL GENERAL CARLOS IB��EZ DEL CAMPO;PROVINCIA DE COIHAIQUE;COYHAIQUE;9713-CYHQ-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76743;
9712-CYHQ-IPOBRIDGE;10;CY;COYHAIQUE;58;CYHQ;COYHAIQUE;51;CYHQ;COYHAIQUE;10079411;9712-CYHQ-IPOBRIDGE;;9712-CYHQ-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"45°34'39.36""";"72°04'06.24""";REGI�N DE AIS�N DEL GENERAL CARLOS IB��EZ DEL CAMPO;PROVINCIA DE COIHAIQUE;COYHAIQUE;9712-CYHQ-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76744;
9468-CHLC-IPOBRIDGE;7;OS;OSORNO;258;CHLC;CHAHUILCO;2367;CHLC;CHAHUILCO;10079413;9468-CHLC-IPOBRIDGE;;9468-CHLC-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"00°00'00.00""";"00°00'00.00""";REGI�N DE LOS LAGOS;PROVINCIA DE OSORNO;R�O NEGRO;9468-CHLC-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76745;
9483-PSCH-IPOBRIDGE;7;OS;OSORNO;76;OSRN;OSORNO;58;PSCH;PARQUE SCHOTT;10079414;9483-PSCH-IPOBRIDGE;;9483-PSCH-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"40°34'45.84""";"73°09'41.40""";REGI�N DE LOS LAGOS;PROVINCIA DE OSORNO;OSORNO;9483-PSCH-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76746;
9463-PSCH-IPOBRIDGE;7;OS;OSORNO;76;OSRN;OSORNO;58;PSCH;PARQUE SCHOTT;10079415;9463-PSCH-IPOBRIDGE;;9463-PSCH-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"40°34'45.84""";"73°09'41.40""";REGI�N DE LOS LAGOS;PROVINCIA DE OSORNO;OSORNO;9463-PSCH-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76747;
MDI101721780;8;PM;PUERTO MONTT;103;PVRS;PUERTO VARAS;64;PVRS;PUERTO VARAS;10079470;MDI101721780;;MDI101721780;25;ONT;83;FIBERHOME;241;AN5506-04-F1;true;2/7/2019 23:28;;"41°19'28.56""";"72°59'18.60""";REGI�N DE LOS LAGOS;PROVINCIA DE LLANQUIHUE;PUERTO VARAS;MDI101721780;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76748;
